4E-6	0.44	14.8	40895.36	0.06757
4E-6	1.21	14.8	112462.24	0.06757
4E-6	1.5	14.8	139416	0.06757
2E-6	6.73	15.25	644532.1	0.06557
2E-6	5.02	15.25	480765.4	0.06557
2E-6	4.84	15.25	463526.8	0.06557
2E-6	7.53	15.25	721148.1	0.06557
2E-6	4.53	15.25	433838.1	0.06557
0	3.18	15.5	309541.2	0.06452
0	5.55	15.5	540237	0.06452
0	5.34	15.5	519795.6	0.06452
0	6	15.5	584040	0.06452
